m gauss bimodal
100 9.95113813928254487 9.9724383939146452605
10 9.9600013510407929829 10.010654970004219777
150 9.9459695875334990234 9.9545602614073924741
15 9.9571338282014849597 10.035723859183571349
1 9.9580737751499093235 12.230234584988906477
200 9.9543011222181299047 9.9486944931464407205
20 9.9550022211995745636 10.024117802470428273
250 9.9515888678200639106 9.9445915025547453325
25 9.9518776806361692877 9.9663536131619299141
2 9.9546797359930145888 9.5105054071013555017
300 9.9507222154285859261 9.9478774761565524898
30 9.9574286331526273841 10.016532172631936959
350 9.9565719724069214891 9.9521748348547820484
3 9.9533119717609093158 10.674963019284637866
4 9.9562571185632879889 9.860656717172018304
50 9.9595102878344494712 10.003986347228371656
5 9.9614985508141629111 10.362894840663669171
6 9.9603773317252244368 9.9593830797825368961
7 9.963010489129356273 10.227047931104713996
8 9.9592293736791130954 9.9950610311322041213
9 9.9576965332590532398 10.142063575769785899
