blocks m gputime
50 10 6536.17724609375
50 1 1084.77880859375
50 200 118038.3046875
50 300 174902.859375
50 400 240173.546875
5 100 11552.509765625
5 10 1202.5736083984375
51 100 59746.88671875
51 10 6772.802734375
51 1 1118.6881103515625
51 200 119958.7734375
51 300 180050.953125
51 400 237899.625
5 1 173.897186279296875
5 200 23799.2265625
52 100 59600.0859375
52 10 6569.02294921875
52 1 1128.2979736328125
52 200 122298.734375
52 300 182727.578125
52 400 237729.390625
5 300 35465.16015625
53 100 60363.4609375
53 10 6558.62646484375
53 1 1140.848876953125
53 200 125813.65625
53 300 185120.25
53 400 238890.328125
5 400 47493.56640625
54 100 62254.78125
54 10 6854.99267578125
54 1 1177.8740234375
54 200 125065.5546875
54 300 184354.953125
54 400 250318.078125
55 100 62652.51171875
55 10 6909.64892578125
55 1 1184.66357421875
55 200 123476.2109375
55 300 187838.125
55 400 251331.796875
56 100 67438.7421875
56 10 7044.3837890625
56 1 1211.8963623046875
56 200 127940.0078125
56 300 194175.390625
56 400 265670.5625
57 100 72160.640625
57 10 7810.67919921875
57 1 1312.9417724609375
57 200 144061.375
57 300 214721.40625
57 400 288865.5625
58 100 73133.1171875
58 10 7921.24169921875
58 1 1315.2027587890625
58 200 0
58 300 216854.5
58 400 297042.125
59 100 74339.265625
59 10 7901.6015625
59 1 1315.9384765625
59 200 148972.65625
59 300 220714.25
59 400 291036.1875
60 100 74158.5546875
60 10 7952.4169921875
60 1 1364.2266845703125
60 200 144560.515625
60 300 215487.453125
60 400 298023.84375
6 100 11753.4560546875
6 10 1240.4945068359375
61 100 75565.7734375
61 10 8005.89990234375
61 1 1344.35693359375
61 200 146910.609375
61 300 219696.140625
61 400 298516.90625
6 1 179.118682861328125
6 200 24152.583984375
62 100 74018.7578125
62 10 8185.78857421875
62 1 1373.9215087890625
62 200 148267.078125
62 300 225868.59375
62 400 303290.6875
6 300 35509.6875
63 100 76417.265625
63 10 8344.572265625
63 1 1395.2926025390625
63 200 152127.375
63 300 231665.859375
63 400 296575.625
6 400 48083.30859375
64 100 77597.21875
64 10 8355.1708984375
64 1 1444.148681640625
64 200 150819.03125
64 300 229667.3125
64 400 307667.875
65 100 76308.609375
65 10 8395.7431640625
65 1 1441.0809326171875
65 200 151011.46875
65 300 232010.375
65 400 297144.71875
66 100 77579.140625
66 10 8438.96484375
66 1 1412.2581787109375
66 200 153759.375
66 300 226189.296875
66 400 305797.5
67 100 79214.71875
67 10 8478.640625
67 1 1459.844970703125
67 200 155055.265625
67 300 230714.765625
67 400 308276.5625
68 100 79044.140625
68 10 8482.3447265625
68 1 1469.316650390625
68 200 153077.5625
68 300 231716.921875
68 400 303233
69 100 77857.671875
69 10 8462.0341796875
69 1 1476.0906982421875
69 200 155519.53125
69 300 235474.78125
69 400 311458.4375
70 100 80665.265625
70 10 8885.0107421875
70 1 1516.815185546875
70 200 162937.28125
70 300 244309.765625
70 400 315564.28125
7 100 12232.6376953125
7 10 1268.8441162109375
71 100 88145.03125
71 10 9425.3076171875
71 1 1564.47802734375
71 200 177550
71 300 262329.90625
71 400 346901.375
7 1 182.388580322265625
7 200 24633.458984375
72 100 86875.359375
72 10 9520.5556640625
72 1 1567.8162841796875
72 200 176757.359375
72 300 264843.78125
72 400 348351.96875
7 300 36210.35546875
73 100 88861.5
73 10 9727.4609375
73 1 1582.6075439453125
73 200 176704.1875
73 300 263981.78125
73 400 353474.96875
7 400 49691.5
74 100 87804.609375
74 10 9576.01171875
74 1 1605.56298828125
74 200 177462.171875
74 300 263280.8125
74 400 357329.40625
75 100 89600.1328125
75 10 9602.6083984375
75 1 1639.879638671875
75 200 176720.921875
75 300 266463.25
75 400 354134.59375
76 100 90294.6015625
76 10 9990.4140625
76 1 1629.9716796875
76 200 179615.453125
76 300 270127.21875
76 400 361022.40625
77 100 90365.4140625
77 10 9966.9375
77 1 1681.8258056640625
77 200 179298.34375
77 300 271571.0625
77 400 359957.9375
78 100 92693.953125
78 10 9985.0869140625
78 1 1709.90478515625
78 200 180458.953125
78 300 268167.59375
78 400 363136.34375
79 100 90700.578125
79 10 10107.326171875
79 1 1704.54638671875
79 200 185268.390625
79 300 274290.5
79 400 362985.125
80 100 93849.8984375
80 10 10081.84375
80 1 1732.997314453125
80 200 185368.8125
80 300 275087.125
80 400 365063.40625
8 100 12358.4765625
8 10 1287.66015625
81 100 93006.1015625
81 10 10020.896484375
81 1 1773.1536865234375
81 200 182685.65625
81 300 278331.6875
81 400 367151.84375
8 1 182.8935394287109375
8 200 24681.20703125
82 100 92973.375
82 10 10311.1201171875
82 1 1772.6715087890625
82 200 187007.5
82 300 277531.25
82 400 376897.3125
8 300 36089.3671875
83 100 94596.625
83 10 10321.693359375
83 1 1773.95703125
83 200 188205.328125
83 300 285818.78125
83 400 374856.59375
8 400 48938.1484375
84 100 96629.5078125
84 10 10551.5048828125
84 1 1812.96484375
84 200 191592.328125
84 300 282432.21875
84 400 382580.96875
85 100 101511.796875
85 10 10761.166015625
85 1 1831.6934814453125
85 200 205437.890625
85 300 303858.875
85 400 405977.90625
86 100 102515.15625
86 10 10813.1884765625
86 1 1836.36865234375
86 200 202632.375
86 300 309140.625
86 400 407887.65625
87 100 104353.1875
87 10 11197.15234375
87 1 1864.9222412109375
87 200 202625.375
87 300 307755.84375
87 400 411802.15625
88 100 103003.1640625
88 10 11395.3603515625
88 1 1885.4898681640625
88 200 205810.328125
88 300 305446.5
88 400 405507.96875
9 100 12396.56640625
9 10 1312.95068359375
9 1 190.310211181640625
9 200 25316.259765625
9 300 37723.671875
9 400 50352.57421875
