blocks m gputime
24 10 1554.5059814453125
24 1 246.955047607421875
24 200 28573.275390625
24 300 44880.6953125
24 400 58321.00390625
25 100 14828.173828125
25 10 1575.03076171875
25 1 265.851776123046875
25 200 29327.439453125
25 300 43445.7109375
25 400 58154.66015625
26 100 15228.4169921875
26 10 1621.1865234375
26 1 273.583892822265625
26 200 29363.798828125
26 300 44398.32421875
26 400 59825.66015625
27 100 15612.578125
27 10 1681.85205078125
27 1 285.186737060546875
27 200 30611.001953125
27 300 45187.2109375
27 400 61943.83203125
28 100 17410.943359375
28 10 1753.29052734375
28 1 305.498565673828125
28 200 32536.30078125
28 300 48819.77734375
28 400 65500.015625
29 100 21162.787109375
29 10 2235.446533203125
29 1 368.479339599609375
29 200 42065.00390625
29 300 62813.4296875
29 400 82838.359375
30 100 21081.544921875
30 10 2239.126953125
30 1 377.82122802734375
30 200 41731.00390625
30 300 63604.15625
30 400 86144.2265625
3 100 5831.6640625
3 10 585.8165283203125
31 100 21151.03125
31 10 2269.77783203125
31 1 372.585723876953125
31 200 42956.796875
31 300 64016.99609375
31 400 87444.3671875
3 1 82.43360137939453125
3 200 11526.31640625
32 100 21243.841796875
32 10 2296.199462890625
32 1 378.5050048828125
32 200 42405.4609375
32 300 63495.26953125
32 400 85326.8984375
3 300 17268.12109375
33 100 21519.947265625
33 10 2355.413818359375
33 1 381.43365478515625
33 200 42773.953125
33 300 64164.640625
33 400 85785.5703125
3 400 23206.421875
34 100 21808.72265625
34 10 2355.526611328125
34 1 380.3052978515625
34 200 43561.7265625
34 300 63797.23828125
34 400 85409.265625
35 100 21884.92578125
35 10 2408.59765625
35 1 390.0438232421875
35 200 43932.30078125
35 300 65150.046875
35 400 87918.3515625
36 100 21780.96484375
36 10 2370.9443359375
36 1 396.274169921875
36 200 43175.55859375
36 300 68008.65625
36 400 88537.3984375
37 100 22434.62890625
37 10 2361.1494140625
37 1 391.766693115234375
37 200 43017.4765625
37 300 65885.9609375
37 400 88711.3125
38 100 22441.203125
38 10 2501.472412109375
38 1 401.66241455078125
38 200 43939.41796875
38 300 68740.6015625
38 400 89882.7421875
39 100 23189.85546875
39 10 2459.059326171875
39 1 410.045166015625
39 200 44953.51953125
39 300 67190.3359375
39 400 93395.171875
40 100 22997.478515625
40 10 2453.50390625
40 1 417.33013916015625
40 200 45304.53515625
40 300 68491.1640625
40 400 90861.0625
4 100 5930.380859375
4 10 608.8238525390625
41 100 23199.935546875
41 10 2540.92578125
41 1 438.8603515625
41 200 46854.53515625
41 300 70103.1640625
41 400 93814.4453125
4 1 85.6024017333984375
4 200 11401.3203125
42 100 24424.6328125
42 10 2604.173828125
42 1 452.3525390625
