B N exactPrice exactError eulerPrice eulerError
0 100000000 0 0 0 0
0 10000000 0 0 0 0
0 1000000 0 0 0 0
0 100000 0 0 0 0
0 10000 0 0 0 0
0 1000 0 0 0 0
0 200000000 0 0 0 0
0.25 100000000 5.6158767404100377757e-09 6.8541045848885278921e-10 5.9994000299990157716e-09 6.9031991853822410851e-10
0.25 10000000 1.09578082739708439e-09 6.1256000661558777882e-10 4.6570685164376051937e-09 1.699784668969965147e-09
0.25 1000000 4.1091781027390798525e-09 4.1091760481495147196e-09 4.1091781027390798525e-09 4.1091760481495147196e-09
0.25 100000 0 0 0 0
0.25 10000 0 0 0 0
0.25 1000 0 0 0 0
0.25 200000000 6.5335931833550806262e-09 5.4711920524649542158e-10 7.0814835970536216838e-09 5.4994093680719824288e-10
0.25 50000000 4.9858027646567172551e-09 9.2656649645047137419e-10 5.0953808473964243086e-09 8.6194816936008658694e-10
0.25 5000000 1.9176164479449003191e-09 1.194099164771313041e-09 7.3965205849303104818e-09 3.1829539529051841177e-09
0.25 500000 0 0 8.218356205478159705e-09 8.218347987117846111e-09
0.25 50000 0 0 0 0
0.25 5000 0 0 0 0
0.33 100000000 0.00035313709548361255693 2.4355053983180157781e-07 0.00035352459097870284933 2.4357337942359972612e-07
0.33 10000000 0.00035320125345105623941 7.6997946587192500382e-07 0.00035264692532499568789 7.6915311095502068203e-07
0.33 1000000 0.00035005403394215044762 2.4012033922124290909e-06 0.00035682869890753325355 2.4448527791329553746e-06
0.33 100000 0.00036190901276855817715 7.7080507044814372791e-06 0.00037079853473081738789 7.9773884879661582952e-06
0.33 10000 0.00034900619352596983858 2.4077107035633936872e-05 0.00039763146774171511267 2.5756043351012445242e-05
0.33 1000 0.00029312137132871883246 6.4569239743378955675e-05 0.000335582878390355908 7.7155525859654556608e-05
0.33 200000000 0.00035297867981912031633 1.7214750881706510954e-07 0.00035304770031398919564 1.7209018097237997205e-07
0.33 50000000 0.0003535046477676409408 3.4458538575754828902e-07 0.00035358685872421600181 3.442757219737073058e-07
0.33 5000000 0.0003530660614914740464 1.0875802947873980785e-06 0.00035359039261738574051 1.0903922645901687954e-06
0.33 500000 0.00034981981079030991053 3.3966531843079795127e-06 0.0003594215902903805538 3.4753856205061696712e-06
0.33 50000 0.00036557987854034636535 1.1114049194985769491e-05 0.00036684002649185325782 1.1072288564059393399e-05
0.33 5000 0.00033695260442460195751 3.2744669543359276041e-05 0.00037886622107254042894 3.5067621174162835567e-05
0 50000000 0 0 0 0
0 5000000 0 0 0 0
0 500000 0 0 0 0
0 50000 0 0 0 0
0 5000 0 0 0 0
0.5 100000000 0.082912161328196828936 2.5431755607755996151e-06 0.08292075293474682196 2.5432567724230156267e-06
0.5 10000000 0.08291429541614658838 8.0423334302357212151e-06 0.082914368285571735107 8.0396049608967650694e-06
0.5 1000000 0.082946248795992008618 2.5429811279511543496e-05 0.082920336318875895176 2.5432269127896187046e-05
0.5 100000 0.082907640328264753382 8.0454363353396930194e-05 0.082792008056453966769 8.0742749343954271801e-05
0.5 10000 0.082951978359991615508 0.00025552351287178639433 0.082510378686551102967 0.00025411547438789963823
0.5 1000 0.082972524250506760057 0.00078037876302872925902 0.082843770003287520165 0.00079374137653828204242
0.5 200000000 0.082911374132946719095 1.7981753426629321523e-06 0.08291966515311853525 1.798325492803929918e-06
0.5 50000000 0.08291145485090226086 3.5969339899354189029e-06 0.082918256198131617962 3.5964553892576340255e-06
0.5 5000000 0.082929886322731280468 1.1377737128592592226e-05 0.082924263323416042004 1.1371761126233432038e-05
0.5 500000 0.082939187858285010058 3.6004151485968940516e-05 0.082913105535141015667 3.5979763229619460762e-05
0.5 50000 0.083017314291826349582 0.00011367140133042135926 0.082747396079517893108 0.00011439883491091049311
0.5 5000 0.082592014358193147072 0.00035776367041391159704 0.082136717424409685928 0.00035951706771043356707
0.66 100000000 0.19072145821560523848 2.6164163441428479225e-06 0.19073198216315948028 2.6165636504497098337e-06
0.66 10000000 0.19072138115482190068 8.2737089985904352287e-06 0.19073081034884079021 8.2713614072796991662e-06
0.66 1000000 0.19073233951098550465 2.6165432980993775494e-05 0.19074797356393988212 2.6138913974121872605e-05
0.66 100000 0.19068580717815097891 8.2757333068323335901e-05 0.19071262641390196446 8.2613228952516874325e-05
0.66 10000 0.19078229068000335245 0.00026373454119420095074 0.19044479018516430324 0.00025804697328099724827
0.66 1000 0.19118088095596832976 0.00082086279496764943692 0.19050971519918749597 0.00080887234398014230645
0.66 200000000 0.19071892233222392798 1.8499177545678634772e-06 0.19073119867301896457 1.8501497591430025141e-06
0.66 50000000 0.19071934604327533958 3.7006963406999158732e-06 0.19072942100832887546 3.6999402368750771347e-06
0.66 5000000 0.19073316079871638351 1.1705385273290352759e-05 0.19073929607556727728 1.1700859055449134438e-05
0.66 500000 0.19072701949506992714 3.7012335504761624636e-05 0.19074104548966072659 3.694780932045480719e-05
0.66 50000 0.19076081337578590369 0.00011664395613080598641 0.19063222349569175496 0.00011727442018693363024
0.66 5000 0.19054587596648933645 0.00037002411277173286302 0.19009441426560130806 0.00036660134492147244218
0.75 100000000 0.24671473181375164208 2.6055711621337205463e-06 0.24672635125449166038 2.6055420701364830688e-06
0.75 10000000 0.24671258367241449827 8.237766771850265211e-06 0.24672302673764159864 8.2353445288487248007e-06
0.75 1000000 0.24670606788566656897 2.6040315051505139125e-05 0.24672927104468558857 2.6052754665339385788e-05
0.75 100000 0.24667968696224626401 8.2340493560146516363e-05 0.2467080950801971706 8.238319838166440845e-05
0.75 10000 0.24667533123345852797 0.00026140880239665603788 0.24635618506747772316 0.00025657796258809177506
0.75 1000 0.2465369889039998319 0.00081199676812828444454 0.24661095410984926191 0.0008133336585650105359
0.75 200000000 0.2467126097382980332 1.8422340980297989787e-06 0.24672476320781924763 1.8423903454447587396e-06
0.75 50000000 0.24671221381898780778 3.6850575721140058948e-06 0.24672336508736755767 3.6842950181342707725e-06
0.75 5000000 0.24672369680761951916 1.1652603300113721524e-05 0.24672988687351271597 1.1650535239639305866e-05
0.75 500000 0.24670006848563691415 3.6842665581002195547e-05 0.24671960077888646645 3.682109703977693555e-05
0.75 50000 0.24669675374863356265 0.00011606137165130826533 0.24661539202219842637 0.00011640421635253872751
0.75 5000 0.24623838862853508758 0.00036694713302617786412 0.24595896451754833967 0.00036403626860437434754
