B K exactPrice exactError eulerPrice eulerError
1.4 0 0.8384005920986488114 1.1742007967286859752e-06 0.83840136755109162525 1.184675874441848602e-06
1.4 1.0 0 0 0 0
1.6 0.1 0.79032110396786214856 1.0007434457425096666e-06 0.79032133013524841214 1.0047047959394620494e-06
1.6 0.2 0.69033141819640941872 9.9939415994893291982e-07 0.69033123343487989843 1.0034789978751958905e-06
1.6 0.3 0.59034169533866420743 9.9857514175492869074e-07 0.5903411159165996569 1.0014991254258072381e-06
1.6 0.4 0.49035166546161612633 9.9610392475746040362e-07 0.49035116192196914753 9.9829568412762780075e-07
1.6 0.5 0.39036174450367705502 9.9561670799975170059e-07 0.39036128924920443506 9.9484520880532660569e-07
1.6 0.6 0.2903717650115898441 9.9290114425079605082e-07 0.29037114619347548228 9.922702684752885535e-07
1.6 0.7 0.19038197617044094745 9.9037806052692237026e-07 0.19038126078198266966 9.8986493993051822884e-07
1.6 0.8 0.090392231074916007394 9.8854441805265635424e-07 0.090391222165812301625 9.8814277166354544022e-07
1.6 0.9 8.0488950702467254905e-07 1.1346680145519434345e-08 7.7628236788162860214e-07 1.108109046736242839e-08
1.6 0 0.89031103298499625343 1.0007670461036185053e-06 0.89031128417987503987 1.0041058256769463016e-06
1.6 1.0 0 0 0 0
1.8 0.1 0.82805661743783331996 8.3132130609612339805e-07 0.82805476624296359134 8.3668928683806357034e-07
1.8 0.2 0.72806661720782639424 8.2972568764281899862e-07 0.728064695390016281 8.3565769952897088204e-07
1.8 0.3 0.62807663493601806337 8.281287813827969163e-07 0.62807470656886477123 8.3373982179326614035e-07
1.8 0.4 0.52808665458402315185 8.2681334112472928044e-07 0.52808465743374755075 8.3063510361599221977e-07
1.8 0 0.92804628782084008787 8.3221784414816023486e-07 0.92804468082153612762 8.3752090954217717354e-07
