m N exactPrice exactError eulerPrice eulerError
100 100000000 0.38261688139871397052 4.6536529243173924866e-06 0.38267056123046094829 4.6537381362273032718e-06
100 10000000 0.38258656043095845556 1.4712141540957816862e-05 0.3826870263838627606 1.471343254569528215e-05
100 1000000 0.38263610447631396516 4.6556188697152154938e-05 0.38262775531127224404 4.6499903719226971528e-05
100 100000 0.38254724336286172193 0.00014738289290017932425 0.38258783930306539123 0.00014752285570045488533
100 10000 0.38281071701417829223 0.00046579386296508843053 0.38252474561274635301 0.0004673183298864886097
100 1000 0.38090190790463734904 0.0015288717616185347383 0.38139185890708693361 0.0015124144850977916995
10 100000000 0.38251482160519367781 1.4641105368094353841e-05 0.38305616746790260851 1.4635479476552453923e-05
10 10000000 0.38256926116097494939 4.6304897066732951603e-05 0.38296479160595175983 4.6268682756544976997e-05
10 1000000 0.38248164992253708139 0.00014642338513236406033 0.38291900618472807238 0.0001462436956084994875
10 100000 0.38260273781314041441 0.00046394891654721751376 0.38237776031201198279 0.00046317504134544878937
10 10000 0.38319167891605482312 0.0014718503313825997709 0.3831616819159059939 0.0014644954788940306705
10 1000 0.37976202189894125993 0.0048813106933082092698 0.37896210189494161646 0.0046016045705329312529
1 100000000 0.47521758086576199043 3.2678325213306962246e-05 0.47865136746992847927 3.2544634231715410225e-05
1 10000000 0.47510905671870473643 0.00010335108512048629594 0.47862816479030179107 0.00010291807077782536581
1 1000000 0.47521327629616350041 0.00032678490199688077196 0.47830346726162004112 0.00032558369234349324867
1 100000 0.47471352627368534893 0.0010339889171506891699 0.47841615599220060906 0.001029445498429740766
1 10000 0.47546245137746528941 0.0032668929059090105402 0.48169182840861085593 0.0032422761385828414819
1 1000 0.4675532423379258895 0.010423459508495946241 0.48295170241492368923 0.010236700635266909876
150 100000000 0.3826268936641021301 3.7997995685455393447e-06 0.38266324416219987814 3.7998739729532392922e-06
150 10000000 0.38261274881198970022 1.2015268674233647736e-05 0.3826669953870602825 1.2014115013018035897e-05
150 1000000 0.38266295845744563442 3.801572650956578541e-05 0.38263474127930641178 3.7976315861298349499e-05
150 100000 0.38257514057300318067 0.00012026513089037017194 0.38245168625238334936 0.00012006888232210302376
150 10000 0.3829983649151132985 0.0003811740977559587842 0.38286304511443680632 0.0003816516485861003497
150 1000 0.3821817799110368008 0.0012241889188314019916 0.3831350179158037883 0.0012306205913507138171
200 100000000 0.38263257772900260978 3.2906475651654686835e-06 0.38265761987466057059 3.2907483820655290726e-06
200 10000000 0.38262376071074344352 1.0403001736837616181e-05 0.3826632272638953447 1.0406257648674754388e-05
200 1000000 0.38266270181644196358 3.2903269053106555899e-05 0.38266403668294979301 3.2915826143248557247e-05
200 100000 0.38256369171794635253 0.00010371029207315152058 0.38248344974254455675 0.0001040924254101907088
200 10000 0.38275522256390320797 0.00033213223451587623901 0.38250674741266121881 0.00033054567494693131271
200 1000 0.38276672141396123061 0.001049922133138717073 0.3828917089145859598 0.0010667415290228083723
2 100000000 0.41134789115406922289 2.7433114883319135617e-05 0.41338102083093458683 2.742094791461424232e-05
2 10000000 0.4113080271406772126 8.676306437819420478e-05 0.41320357757615416849 8.6709194524781414031e-05
2 1000000 0.41131426651670877082 0.00027443132269168880183 0.41322027590623455762 0.00027426178107064000519
2 100000 0.41120387755618864611 0.00086867114994288396022 0.4130936885656403823 0.00086739796336817321515
2 10000 0.41161883605821947274 0.0027457779280046085146 0.41590840707966764134 0.0027407220377667585939
2 1000 0.40265973201343646659 0.0086895113193061895851 0.42015798210093391329 0.0086462134546479944147
250 100000000 0.38263838940780253717 2.9434302992728936467e-06 0.38265582942371212383 2.9433289169193819666e-06
250 10000000 0.38263708157859488423 9.3059294484279814089e-06 0.38267509657690412794 9.3071583570411887151e-06
250 1000000 0.38266830325627188003 2.9461588375519381954e-05 0.38266743934266556071 2.9420140345932029204e-05
250 100000 0.38265821226541263389 9.3029666662126551079e-05 0.38243727436030972022 9.3101846615343316488e-05
250 10000 0.38257294079299186684 0.00029542089805888177697 0.38276372171394545951 0.00029433904051958656228
250 1000 0.38306569151545599716 0.00094787840535336153388 0.38327367071649592889 0.00096341735651528685128
300 100000000 0.3826404197780903238 2.6869123669861358974e-06 0.38265406468019985686 2.686851485969467472e-06
300 10000000 0.38263870388302040348 8.4974126207650246882e-06 0.38266305878074380331 8.4956366754128122807e-06
300 1000000 0.38266181857143960476 2.690943421059033752e-05 0.38265260949239343624 2.6871335184350405944e-05
300 100000 0.38271652643371123492 8.483527894724915289e-05 0.38248868255257112425 8.4919578303227561994e-05
300 10000 0.38271639311370037051 0.00027054982335507734214 0.38272705871375262143 0.00026721716023865002597
300 1000 0.38299169891508705321 0.00086870998750182473053 0.38292837191477047121 0.00086600230542434905416
3 100000000 0.39110817056068392095 2.4890070347388285028e-05 0.3926208272874425198 2.487405651958120344e-05
3 10000000 0.39115581246290964668 7.8703310161348449749e-05 0.39245023968038034168 7.8645917978672192738e-05
3 1000000 0.3910007979651440313 0.00024884251326029395348 0.39242442226226009749 0.00024853433414320736869
3 100000 0.39097223415499632315 0.00078819540604603598524 0.39208345636055241812 0.00078489293483648982751
3 10000 0.39183748095929293864 0.0024839843191206598637 0.39327733696649391781 0.0024873270437657992588
3 1000 0.3895943719481065326 0.0078227064686965403634 0.39212745196077286591 0.0079119112855882047647
400 100000000 0.38264398103860991496 2.3267780314841694706e-06 0.38265161365031452601 2.3270948836514093047e-06
400 10000000 0.38264062552417765772 7.3575308476096664185e-06 0.38265805478116748928 7.3572532123105019019e-06
